date,source,image_id,pre_post,aoi_cloud_pct,tile_cloud_pct,aoi_covered,in_clean_set,flags
2022-01-23,sentinel2,20220123T074221_20220123T075720_T37MBU,POST,0.0,28.80735,True,True,POST_INTERVENTION|NEAR_INTERVENTION
2022-01-23,sentinel2,20220123T074221_20220123T075720_T37MCU,POST,0.02,37.070544,True,True,POST_INTERVENTION|NEAR_INTERVENTION
2022-01-28,sentinel2,20220128T074049_20220128T075232_T37MCU,POST,0.0,0.789951,True,True,POST_INTERVENTION|NEAR_INTERVENTION
2022-01-28,sentinel2,20220128T074049_20220128T075232_T37MBU,POST,0.0,0.571455,True,True,POST_INTERVENTION|NEAR_INTERVENTION
2022-02-12,sentinel2,20220212T074031_20220212T075549_T37MBU,POST,0.0,5.997163,True,True,POST_INTERVENTION|NEAR_INTERVENTION
2022-02-12,sentinel2,20220212T074031_20220212T075549_T37MCU,POST,0.0,21.018179,True,True,POST_INTERVENTION|NEAR_INTERVENTION
2022-02-17,sentinel2,20220217T073949_20220217T075434_T37MBU,POST,23.9,12.027273,True,False,HIGH_AOI_CLOUD|POST_INTERVENTION|NEAR_INTERVENTION
2022-02-17,sentinel2,20220217T073949_20220217T075434_T37MCU,POST,24.23,15.099071,True,False,HIGH_AOI_CLOUD|POST_INTERVENTION|NEAR_INTERVENTION
2022-02-27,sentinel2,20220227T073849_20220227T075436_T37MBU,POST,0.0,0.042714,True,True,POST_INTERVENTION|NEAR_INTERVENTION
2022-02-27,sentinel2,20220227T073849_20220227T075436_T37MCU,POST,0.0,0.574796,True,True,POST_INTERVENTION|NEAR_INTERVENTION
2022-03-04,sentinel2,20220304T073821_20220304T074203_T37MBU,POST,70.91,1.504663,True,False,OUT_OF_SEASON|HIGH_AOI_CLOUD|POST_INTERVENTION
2022-03-04,sentinel2,20220304T073821_20220304T074203_T37MCU,POST,71.13,19.535698,True,False,OUT_OF_SEASON|HIGH_AOI_CLOUD|POST_INTERVENTION
2022-03-09,sentinel2,20220309T073739_20220309T075438_T37MBU,POST,13.83,32.093766,True,True,OUT_OF_SEASON|POST_INTERVENTION
2022-03-09,sentinel2,20220309T073739_20220309T075438_T37MCU,POST,14.11,16.461492,True,True,OUT_OF_SEASON|POST_INTERVENTION
2022-03-14,sentinel2,20220314T073711_20220314T074201_T37MCU,POST,0.0,10.393128,True,True,OUT_OF_SEASON|POST_INTERVENTION
2022-03-14,sentinel2,20220314T073711_20220314T074201_T37MBU,POST,0.0,6.315387,True,True,OUT_OF_SEASON|POST_INTERVENTION
2022-03-19,sentinel2,20220319T073629_20220319T075418_T37MCU,POST,18.97,10.911238,True,True,OUT_OF_SEASON|POST_INTERVENTION
