date,source,aoi_tile,image_id,pre_post,aoi_cloud_pct,tile_cloud_pct,NDVI_mean,NDVI_std,NDVI_min,NDVI_max,NDVI_p10,NDVI_p25,NDVI_p50,NDVI_p75,NDVI_p90,NDWI_mean,NDWI_std,NDWI_min,NDWI_max,NDWI_p10,NDWI_p25,NDWI_p50,NDWI_p75,NDWI_p90,NDMI_mean,NDMI_std,NDMI_min,NDMI_max,NDMI_p10,NDMI_p25,NDMI_p50,NDMI_p75,NDMI_p90,chirps_30d_mm,flags,mgrs_tile,orbit_number,processing_baseline,RVI_mean,RVI_std,RVI_min,RVI_max,RVI_p10,RVI_p25,RVI_p50,RVI_p75,RVI_p90,VH_VV_mean,VH_VV_std,VH_VV_min,VH_VV_max,VH_VV_p10,VH_VV_p25,VH_VV_p50,VH_VV_p75,VH_VV_p90
2016-08-02,sentinel2,,S2A_MSIL2A_20160802T075222_N0500_R092_T37MCU_20231002T063552.SAFE,PRE,0.10080645161290036,,0.3451859498651481,0.08247985233163938,0.07511737084793585,0.7193588160988017,0.2501547229528385,0.28325123143988573,0.33494851594944025,0.39651837511395277,0.45264472292951113,-0.47433620149516176,0.0505451046719212,-0.6977640706639305,-0.11797307987492231,-0.5355853885458889,-0.5019083967071049,-0.47192353629870865,-0.4431538189218043,-0.42218981230471403,-0.10071030099469337,0.06128116928453215,-0.23902660899726474,0.1866235166870508,-0.16884176179265054,-0.14297529335235526,-0.11044776117048025,-0.0672756014830651,-0.020652622878840808,0.0,PRE_INTERVENTION,T37MCU,092,,,,,,,,,,,,,,,,,,,
2016-08-02,sentinel2,,S2A_MSIL2A_20160802T075222_N0500_R092_T37MCU_20231002T063552.SAFE,PRE,0.10080645161290036,,0.3451859498651481,0.08247985233163938,0.07511737084793585,0.7193588160988017,0.2501547229528385,0.28325123143988573,0.33494851594944025,0.39651837511395277,0.45264472292951113,-0.47433620149516176,0.0505451046719212,-0.6977640706639305,-0.11797307987492231,-0.5355853885458889,-0.5019083967071049,-0.47192353629870865,-0.4431538189218043,-0.42218981230471403,-0.10071030099469337,0.06128116928453215,-0.23902660899726474,0.1866235166870508,-0.16884176179265054,-0.14297529335235526,-0.11044776117048025,-0.0672756014830651,-0.020652622878840808,0.0,PRE_INTERVENTION,T37MCU,092,,,,,,,,,,,,,,,,,,,
2016-08-02,sentinel2,,S2A_MSIL2A_20160802T075222_N0500_R092_T37MCU_20231002T063552.SAFE,PRE,0.10080645161290036,,0.3451859498651481,0.08247985233163938,0.07511737084793585,0.7193588160988017,0.2501547229528385,0.28325123143988573,0.33494851594944025,0.39651837511395277,0.45264472292951113,-0.47433620149516176,0.0505451046719212,-0.6977640706639305,-0.11797307987492231,-0.5355853885458889,-0.5019083967071049,-0.47192353629870865,-0.4431538189218043,-0.42218981230471403,-0.10071030099469337,0.06128116928453215,-0.23902660899726474,0.1866235166870508,-0.16884176179265054,-0.14297529335235526,-0.11044776117048025,-0.0672756014830651,-0.020652622878840808,0.0,PRE_INTERVENTION,T37MCU,092,,,,,,,,,,,,,,,,,,,
2016-08-02,sentinel2,,S2A_MSIL2A_20160802T075222_N0500_R092_T37MCU_20231002T063552.SAFE,PRE,0.10080645161290036,,0.3451859498651481,0.08247985233163938,0.07511737084793585,0.7193588160988017,0.2501547229528385,0.28325123143988573,0.33494851594944025,0.39651837511395277,0.45264472292951113,-0.47433620149516176,0.0505451046719212,-0.6977640706639305,-0.11797307987492231,-0.5355853885458889,-0.5019083967071049,-0.47192353629870865,-0.4431538189218043,-0.42218981230471403,-0.10071030099469337,0.06128116928453215,-0.23902660899726474,0.1866235166870508,-0.16884176179265054,-0.14297529335235526,-0.11044776117048025,-0.0672756014830651,-0.020652622878840808,0.0,PRE_INTERVENTION,T37MCU,092,,,,,,,,,,,,,,,,,,,
2016-08-02,sentinel2,,S2A_MSIL2A_20160802T075222_N0500_R092_T37MCU_20231002T063552.SAFE,PRE,0.10080645161290036,,0.3451859498651481,0.08247985233163938,0.07511737084793585,0.7193588160988017,0.2501547229528385,0.28325123143988573,0.33494851594944025,0.39651837511395277,0.45264472292951113,-0.47433620149516176,0.0505451046719212,-0.6977640706639305,-0.11797307987492231,-0.5355853885458889,-0.5019083967071049,-0.47192353629870865,-0.4431538189218043,-0.42218981230471403,-0.10071030099469337,0.06128116928453215,-0.23902660899726474,0.1866235166870508,-0.16884176179265054,-0.14297529335235526,-0.11044776117048025,-0.0672756014830651,-0.020652622878840808,0.0,PRE_INTERVENTION,T37MCU,092,,,,,,,,,,,,,,,,,,,
2016-08-02,sentinel2,,S2A_MSIL2A_20160802T075222_N0500_R092_T37MCU_20231002T063552.SAFE,PRE,0.10080645161290036,,0.3451859498651481,0.08247985233163938,0.07511737084793585,0.7193588160988017,0.2501547229528385,0.28325123143988573,0.33494851594944025,0.39651837511395277,0.45264472292951113,-0.47433620149516176,0.0505451046719212,-0.6977640706639305,-0.11797307987492231,-0.5355853885458889,-0.5019083967071049,-0.47192353629870865,-0.4431538189218043,-0.42218981230471403,-0.10071030099469337,0.06128116928453215,-0.23902660899726474,0.1866235166870508,-0.16884176179265054,-0.14297529335235526,-0.11044776117048025,-0.0672756014830651,-0.020652622878840808,0.0,PRE_INTERVENTION,T37MCU,092,,,,,,,,,,,,,,,,,,,
2016-08-22,sentinel2,,S2A_MSIL2A_20160822T075212_N0500_R092_T37MCU_20231005T022044.SAFE,PRE,0.0,,0.3043469817252204,0.08679784318238037,0.014801657776908445,0.7346780448061344,0.21303310399368222,0.24164524413828883,0.28826151549470225,0.3498273877014305,0.4161490363370883,-0.4489399703781088,0.05201522864461116,-0.7116611378638272,-0.08138801256694758,-0.5082933984246241,-0.47692307673964496,-0.4442638932582827,-0.41647058807197235,-0.3948857963243956,-0.1300775068405995,0.0615086061036309,-0.2525996533248268,0.14150943393659116,-0.1924215278539444,-0.17263228551678778,-0.14408004776230038,-0.10029889226286888,-0.05058907818992934,9.249,PRE_INTERVENTION,T37MCU,092,,,,,,,,,,,,,,,,,,,
2016-08-22,sentinel2,,S2A_MSIL2A_20160822T075212_N0500_R092_T37MCU_20231005T022044.SAFE,PRE,0.0,,0.3043469817252204,0.08679784318238037,0.014801657776908445,0.7346780448061344,0.21303310399368222,0.24164524413828883,0.28826151549470225,0.3498273877014305,0.4161490363370883,-0.4489399703781088,0.05201522864461116,-0.7116611378638272,-0.08138801256694758,-0.5082933984246241,-0.47692307673964496,-0.4442638932582827,-0.41647058807197235,-0.3948857963243956,-0.1300775068405995,0.0615086061036309,-0.2525996533248268,0.14150943393659116,-0.1924215278539444,-0.17263228551678778,-0.14408004776230038,-0.10029889226286888,-0.05058907818992934,9.249,PRE_INTERVENTION,T37MCU,092,,,,,,,,,,,,,,,,,,,
2016-08-22,sentinel2,,S2A_MSIL2A_20160822T075212_N0500_R092_T37MCU_20231005T022044.SAFE,PRE,0.0,,0.3043469817252204,0.08679784318238037,0.014801657776908445,0.7346780448061344,0.21303310399368222,0.24164524413828883,0.28826151549470225,0.3498273877014305,0.4161490363370883,-0.4489399703781088,0.05201522864461116,-0.7116611378638272,-0.08138801256694758,-0.5082933984246241,-0.47692307673964496,-0.4442638932582827,-0.41647058807197235,-0.3948857963243956,-0.1300775068405995,0.0615086061036309,-0.2525996533248268,0.14150943393659116,-0.1924215278539444,-0.17263228551678778,-0.14408004776230038,-0.10029889226286888,-0.05058907818992934,9.249,PRE_INTERVENTION,T37MCU,092,,,,,,,,,,,,,,,,,,,
2016-08-22,sentinel2,,S2A_MSIL2A_20160822T075212_N0500_R092_T37MCU_20231005T022044.SAFE,PRE,0.0,,0.3043469817252204,0.08679784318238037,0.014801657776908445,0.7346780448061344,0.21303310399368222,0.24164524413828883,0.28826151549470225,0.3498273877014305,0.4161490363370883,-0.4489399703781088,0.05201522864461116,-0.7116611378638272,-0.08138801256694758,-0.5082933984246241,-0.47692307673964496,-0.4442638932582827,-0.41647058807197235,-0.3948857963243956,-0.1300775068405995,0.0615086061036309,-0.2525996533248268,0.14150943393659116,-0.1924215278539444,-0.17263228551678778,-0.14408004776230038,-0.10029889226286888,-0.05058907818992934,9.249,PRE_INTERVENTION,T37MCU,092,,,,,,,,,,,,,,,,,,,
